postcode,latitude,longitude
BD234,54.003712,-2.312785
BD235,54.145449,-2.046120
BD236,53.979475,-1.984472
BD239,53.957714,-2.025887
BD24,53.809711,-1.731353
BD240,54.065361,-2.286448
BD245,54.064612,-2.282107
BD249,54.066862,-2.278651
BD30,53.799644,-1.731356
BD37,53.803550,-1.714886
BD38,53.797840,-1.724475
BD39,53.796912,-1.744065
BD40,53.782781,-1.707758
BD46,53.762413,-1.726284
BD47,53.781404,-1.734128
BD48,53.787314,-1.709108
BD49,53.779114,-1.719028
BD50,53.787785,-1.754837
BD55,53.781916,-1.756194
BD57,53.780181,-1.759160
BD58,53.769059,-1.736057
BD59,53.776485,-1.767497
BD61,53.763606,-1.767553
BD62,53.760854,-1.781568
BD63,53.767345,-1.814425
BD71,53.791306,-1.758368
BD72,53.786272,-1.786293
BD73,53.780895,-1.779825
BD74,53.771881,-1.795288
BD80,53.796014,-1.812325
BD87,53.808916,-1.763384
BD88,53.799168,-1.766294
BD89,53.800520,-1.787162
BD94,53.811153,-1.777374
BD95,53.814177,-1.789933
BD96,53.808447,-1.802794
BD971,53.850950,-1.837754
BD988,53.838392,-1.780588
BD992,53.791765,-1.781636
BD994,53.796019,-1.750599
BD999,53.793377,-1.783950
BH104,50.751406,-1.888361
BH105,50.753966,-1.886342
BH106,50.761195,-1.876981
BH107,50.771261,-1.898879
BH11,50.727899,-1.863580
BH110,50.758187,-1.924228
BH118,50.754133,-1.913276
BH119,50.770012,-1.923570
BH12,50.721464,-1.875130
BH121,50.733314,-1.911699
BH122,50.728898,-1.924516
BH123,50.731857,-1.941216
BH124,50.741044,-1.920500
BH125,50.751411,-1.929568
BH129,50.740383,-1.913656
BH13,50.725115,-1.852070
BH136,50.721088,-1.907047
BH137,50.713064,-1.927855
BH14,50.723402,-1.848746
BH140,50.724811,-1.949060
BH144,50.725256,-1.949229
BH148,50.717159,-1.951830
BH149,50.725714,-1.923840
BH151,50.712294,-1.984326
BH152,50.723471,-1.977975
BH153,50.731187,-1.979204
BH154,50.713573,-2.006123
BH159,50.722721,-1.962682
BH165,50.742353,-2.030986
BH166,50.746155,-2.037068
BH170,50.741384,-1.977854
BH177,50.737997,-1.992168
BH178,50.749410,-1.960854
BH179,50.750764,-1.982697
BH180,50.746667,-1.973925
BH188,50.762438,-1.994716
BH189,50.766493,-2.010512
BH19,50.727899,-1.863580
BH191,50.608566,-1.960999
BH192,50.607752,-1.978552
BH193,50.604938,-2.015718
BH199,50.609384,-1.959189
BH204,50.691107,-2.092152
BH205,50.633432,-2.035084
BH206,50.698735,-2.245668
BH207,50.696572,-2.106392
BH209,50.696573,-2.106392
BH211,50.804676,-1.988666
BH212,50.809759,-1.960904
BH213,50.770942,-2.023730
BH214,50.787025,-2.077134
BH215,50.897280,-2.002778
BH216,50.843709,-1.866254
BH217,50.831774,-1.963484
BH218,50.886436,-1.907914
BH219,50.797994,-1.985007
BH220,50.814568,-1.870326
BH222,50.808890,-1.893135
